Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
TakeByteString/ExMemory 7/ExMemory 128,6.822290373368134e-6,6.692502960065245e-6,7.141574032726907e-6,6.872371170274169e-7,3.7133515207601346e-7,1.1615355540149552e-6
TakeByteString/ExMemory 7/ExMemory 256,6.81185515656465e-6,6.698409969132645e-6,7.040021898417385e-6,5.603005482524923e-7,2.8139835661339843e-7,9.749165611517845e-7
TakeByteString/ExMemory 7/ExMemory 512,7.022924018423416e-6,6.754342488670677e-6,7.827482057410335e-6,1.6078340400150557e-6,3.911022392170307e-7,3.356820566396997e-6
TakeByteString/ExMemory 7/ExMemory 1024,6.579356934187276e-6,6.542070436524919e-6,6.678169625233618e-6,2.2325447446911042e-7,3.9632777665793155e-8,4.2540897342215463e-7
TakeByteString/ExMemory 7/ExMemory 2048,6.5534249116664464e-6,6.545624285183371e-6,6.569495953297943e-6,3.728080707840366e-8,2.274606610944787e-8,6.26975457688357e-8
TakeByteString/ExMemory 7/ExMemory 4096,6.6768795465946e-6,6.614102502355625e-6,6.822527696034704e-6,2.849387300528119e-7,1.6163204408816358e-7,4.957962891595801e-7
TakeByteString/ExMemory 7/ExMemory 8192,6.596071933638888e-6,6.564171359815205e-6,6.664099253177096e-6,1.62536907956601e-7,7.871299398180458e-8,2.79304541678881e-7
TakeByteString/ExMemory 7/ExMemory 16384,6.710309730004818e-6,6.629706199243803e-6,6.832201319362303e-6,3.426053133228857e-7,2.128645934376673e-7,5.7940920705262e-7
TakeByteString/ExMemory 7/ExMemory 32768,6.6082854868722804e-6,6.56615794784297e-6,6.676177020501361e-6,1.8803518018733253e-7,8.491348389003772e-8,2.925955285925675e-7
TakeByteString/ExMemory 7/ExMemory 65536,6.745461476013837e-6,6.660627817833163e-6,6.907164532660798e-6,4.2962471654502945e-7,3.147022026666679e-7,6.291451124500244e-7
TakeByteString/ExMemory 7/ExMemory 131072,6.58623997840223e-6,6.561390274005769e-6,6.6399621887616906e-6,1.1462527301451422e-7,8.286176647329591e-8,1.6258299284788434e-7
TakeByteString/ExMemory 13/ExMemory 1,6.906746961897962e-6,6.7437669290693656e-6,7.100882612942893e-6,5.678191378209873e-7,4.0908513881560767e-7,7.358866080740603e-7
TakeByteString/ExMemory 13/ExMemory 1,6.633901119628559e-6,6.5752990317068015e-6,6.7264570110361504e-6,2.898207054250549e-7,1.3086903712351078e-7,4.285839726112589e-7
TakeByteString/ExMemory 13/ExMemory 1,6.638744754732481e-6,6.585254249330902e-6,6.834716053791998e-6,3.2918748276856585e-7,1.5846660568230381e-7,5.800668934566747e-7
TakeByteString/ExMemory 13/ExMemory 2,6.600814812546568e-6,6.573491122634345e-6,6.657448889805852e-6,1.3103421701662432e-7,8.80527212043168e-8,1.9762922510834417e-7
TakeByteString/ExMemory 13/ExMemory 4,6.798495773803834e-6,6.659960271456705e-6,7.1170099241963674e-6,6.057219794616996e-7,3.4187523776854854e-7,9.908519886616717e-7
TakeByteString/ExMemory 13/ExMemory 8,6.632654545349647e-6,6.5617397854668964e-6,6.773753325704433e-6,3.229048774967994e-7,5.7240368501391267e-8,5.476885842761714e-7
TakeByteString/ExMemory 13/ExMemory 16,6.90930249480012e-6,6.77087158979242e-6,7.1673248550396446e-6,7.094818227642576e-7,4.384179605530274e-7,1.123964648296835e-6
TakeByteString/ExMemory 13/ExMemory 32,6.864703089452905e-6,6.753323424667879e-6,7.0708233268400545e-6,4.784367641441431e-7,3.5359938900634406e-7,6.648265627504721e-7
TakeByteString/ExMemory 13/ExMemory 64,6.788588545054521e-6,6.6241502959715695e-6,7.335232487794537e-6,9.289635981197474e-7,2.2552708152989193e-7,1.9186379093384218e-6
TakeByteString/ExMemory 13/ExMemory 128,6.547086607696691e-6,6.540091887331424e-6,6.557699805364239e-6,3.052908381542466e-8,2.322718746691862e-8,4.605280429928685e-8
TakeByteString/ExMemory 13/ExMemory 256,6.828950161426015e-6,6.699912646414048e-6,7.381577289729987e-6,6.971637707612188e-7,2.1369758805030635e-7,1.612864581812247e-6
TakeByteString/ExMemory 13/ExMemory 512,6.586239760546015e-6,6.551578222421784e-6,6.684707052311908e-6,1.8718384305181529e-7,8.345568087806391e-8,3.6167751683970234e-7
TakeByteString/ExMemory 13/ExMemory 1024,6.654330620541534e-6,6.588750766958134e-6,6.792628257592814e-6,3.011198380661219e-7,8.544885401826646e-8,5.371285527490256e-7
TakeByteString/ExMemory 13/ExMemory 2048,6.555400337684781e-6,6.548877615941467e-6,6.569058971367141e-6,3.280938290687523e-8,2.1497112599172025e-8,5.300625982594979e-8
TakeByteString/ExMemory 13/ExMemory 4096,6.689377829552889e-6,6.617548840535508e-6,6.839194637005256e-6,3.409160009158211e-7,2.1079629169338647e-7,5.394841730513877e-7
TakeByteString/ExMemory 13/ExMemory 8192,6.939086825771631e-6,6.806745443475304e-6,7.118899330914423e-6,5.065728146690938e-7,4.0682256341237616e-7,6.313535363002784e-7
TakeByteString/ExMemory 13/ExMemory 16384,6.921090627291319e-6,6.77847389476425e-6,7.156995756957325e-6,6.720204004443752e-7,4.1741755542705e-7,1.156097888960401e-6
TakeByteString/ExMemory 13/ExMemory 32768,6.584526533069822e-6,6.5545457497201215e-6,6.6663399911488575e-6,1.428088366078755e-7,4.32562637533918e-8,2.836322632710774e-7
TakeByteString/ExMemory 13/ExMemory 65536,6.615172483012341e-6,6.559889792350564e-6,6.882835633784393e-6,3.356749464803372e-7,4.938834327904348e-8,7.570615409926621e-7
TakeByteString/ExMemory 13/ExMemory 131072,6.664652351434225e-6,6.5875014893061565e-6,6.791013403059115e-6,3.41008663667991e-7,2.2087820552573797e-7,5.156158926821607e-7
TakeByteString/ExMemory 26/ExMemory 1,6.7695064973528454e-6,6.653827875920629e-6,7.061428819094518e-6,5.766259042655037e-7,2.4172154258152725e-7,1.1177735182565802e-6
TakeByteString/ExMemory 26/ExMemory 1,6.659485237733175e-6,6.5715443815995024e-6,6.765599060695244e-6,3.529345414222358e-7,1.7228810740857934e-7,5.223035768631333e-7
TakeByteString/ExMemory 26/ExMemory 1,6.742279516269934e-6,6.644473807231104e-6,6.99357153649585e-6,5.093687345544434e-7,2.6540164014181444e-7,9.400040191612492e-7
TakeByteString/ExMemory 26/ExMemory 2,6.900740241676999e-6,6.773737615964319e-6,7.1011587339718915e-6,5.131589686804168e-7,3.9197492214970073e-7,6.84626643475838e-7
TakeByteString/ExMemory 26/ExMemory 4,6.554403376014429e-6,6.546555980913207e-6,6.564576390181857e-6,3.249470488153885e-8,2.5770871988269178e-8,4.244555166509187e-8
TakeByteString/ExMemory 26/ExMemory 8,6.659006937776914e-6,6.591282078212949e-6,6.892740520458868e-6,4.0170750700298063e-7,1.1280969975311789e-7,8.230351228298797e-7
TakeByteString/ExMemory 26/ExMemory 16,6.614971077195019e-6,6.57386621488878e-6,6.706140481644511e-6,1.8451048901025466e-7,8.634179695689965e-8,2.822302328922211e-7
TakeByteString/ExMemory 26/ExMemory 32,6.878801815521375e-6,6.768357443328821e-6,7.007865074848652e-6,4.3747772890455007e-7,3.550423067990347e-7,5.462904422135723e-7
TakeByteString/ExMemory 26/ExMemory 64,6.926409322937863e-6,6.812983312249368e-6,7.142387184851515e-6,4.790696261272974e-7,3.8259559868738097e-7,6.510498697414736e-7
TakeByteString/ExMemory 26/ExMemory 128,6.651531670073049e-6,6.56738015948043e-6,6.884689575281747e-6,4.2717629602959766e-7,9.278038716458569e-8,8.367253339552329e-7
TakeByteString/ExMemory 26/ExMemory 256,6.613678464193307e-6,6.579661665078238e-6,6.683744068633477e-6,1.5857648707118287e-7,1.1062258712748597e-7,2.2985417687985856e-7
TakeByteString/ExMemory 26/ExMemory 512,6.7671810398344246e-6,6.671515203499892e-6,6.9906975392459355e-6,4.3263119587030356e-7,2.6147743332072886e-7,7.386443949890163e-7
